repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,33396,Objective-C,2011-05-31T21:28:44Z,15.22,710,40,2023-01-17T19:30:05Z,1309,0,0,
langfuse/langfuse,https://github.com/langfuse/langfuse,33381,TypeScript,2023-05-18T17:47:09Z,3.25,7567,656,2026-08-19T13:03:15Z,0,301,2567,0.895
nicolargo/glances,https://github.com/nicolargo/glances,33377,Python,2011-12-04T08:49:15Z,14.71,829,61,2026-08-18T11:20:49Z,1,96,2124,0.9568
lutzroeder/netron,https://github.com/lutzroeder/netron,33367,JavaScript,2010-12-26T12:53:43Z,15.65,1,9,2026-08-18T12:11:10Z,1,15,1257,0.9882
MetaCubeX/mihomo,https://github.com/MetaCubeX/mihomo,33356,Python,2021-05-20T11:06:33Z,5.25,323,62,2026-08-18T00:18:57Z,1,449,1535,0.7737
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,33337,TypeScript,2023-03-11T14:53:14Z,3.44,281,0,2024-08-03T00:38:07Z,746,193,819,0.8093
google/comprehensive-rust,https://github.com/google/comprehensive-rust,33314,Rust,2022-12-21T15:17:24Z,3.66,2512,0,2026-08-05T08:02:33Z,14,117,256,0.6863
remix-run/remix,https://github.com/remix-run/remix,33310,TypeScript,2020-10-26T19:57:28Z,5.81,4038,639,2026-08-18T23:48:59Z,0,28,2747,0.9899
motiondivision/motion,https://github.com/motiondivision/motion,33282,TypeScript,2018-11-16T09:48:38Z,7.76,1284,0,2026-08-19T04:58:32Z,0,104,1839,0.9465
alibaba/nacos,https://github.com/alibaba/nacos,33280,Java,2018-06-15T06:49:27Z,8.18,3891,98,2026-08-19T08:18:39Z,0,167,9618,0.9829
zeromicro/go-zero,https://github.com/zeromicro/go-zero,33264,Go,2020-08-07T15:37:57Z,6.03,2511,154,2026-08-17T19:53:59Z,1,107,1888,0.9464
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,33245,Python,2021-01-27T16:03:30Z,5.56,1171,216,2026-08-16T16:33:00Z,2,314,1428,0.8197
waydabber/BetterDisplay,https://github.com/waydabber/BetterDisplay,33232,,2021-10-24T08:32:56Z,4.82,2,133,2026-08-18T21:57:21Z,0,219,3070,0.9334
certbot/certbot,https://github.com/certbot/certbot,33204,Python,2014-11-12T02:52:20Z,11.77,4131,72,2026-08-18T20:29:04Z,0,122,5450,0.9781
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,33196,C,2013-06-03T04:12:04Z,13.21,35,0,2024-08-13T00:53:33Z,736,2836,2545,0.473
linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,33192,TypeScript,2025-02-12T06:06:49Z,1.51,60,47,2026-08-13T14:23:12Z,5,7,217,0.9688
qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic,33169,Vue,2020-10-09T10:04:21Z,5.86,297,32,2026-06-14T12:57:40Z,66,646,1203,0.6506
